parm,beta
c.indp1#c.indf1#c.FD_temp1,.0000217120239896
c.indp1#c.indf1#c.FD_temp2,-1.21380512313e-06
c.indp1#c.indf1#c.FD_temp3,5.98569274258e-08
c.indp1#c.indf1#c.FD_temp4,-1.07667847689e-09
c.indp2#c.indf1#c.FD_temp1,-.000769225102864
c.indp2#c.indf1#c.FD_temp2,8.39669191194e-07
c.indp2#c.indf1#c.FD_temp3,1.37777792785e-06
c.indp2#c.indf1#c.FD_temp4,-2.83411683597e-08
c.indp1#c.indf1#c.FD_precip1,-.0000339158541067
c.indp1#c.indf1#c.FD_precip2,1.02431394160e-07
c.indp2#c.indf1#c.FD_precip1,-1.98737496102e-07
c.indp2#c.indf1#c.FD_precip2,-9.15403600879e-07
_cons,.0585460308814795
